vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
xabk,2,5.0,4,"চিকেন নুডুলস ২প্যাকেট নিয়েছিলাম,, আহা অসাধারন!তবে তেল টা একটু বেশি লেগেছে!।।আর বাকি সব ওকে♥️♥️♥️",Poheli,
efjs,30,2.68,27,ভালো একটা সার্ভিজ দেওয়ার জন্য ধন্যবাদ ,Zahirul,
aepg,2,2.2,1,That's too much spicy.,Marjina,
twfq,30,2.38,22,faltu ekdom.got an hair on my food.Faltu.,Soumraj,
kfgk,7,2.4,7,আপনি বাসায় যা খান আমরাও তাই খাই। আমরাও মানুষ তাই খাবার এর মান টা ভালো করিয়েন। ,shanto,
antq,3,2.33,3,The quantity was good but it was too salty!!  Need to improve the taste also!,Dipa,
w2gm,3,1.0,0,"platter e vegetable ta dei nai,",Sanjitun,
m60a,30,3.62,44,rice meal er shate pepsi chilo ota deya hoinai. ami regular customer amon mistake asha kora jaina. ,Tasnuva,
k87m,19,3.67,31,অর্ডারের সাথে মিল নাই ,Faruk,
v87u,10,2.93,12,Mediocre quality of food. Not worth the try.,RASHED,
ws0w,20,3.04,24,Good taste but the plastic box was slightly broken.,Shadab,
q1rt,30,3.54,44,apnara alu bhortar jaigai chichinga bhaji diyechen.. packing dekhe sune korle valo hoy,Mrinmoy,
hyq2,30,3.16,37,amr ball khawaise ,Abir,
k8nu,1,5.0,2,খারাপ না একেবারে।,Chowdhury,
i6vl,4,3.22,5,"Worst experience ever. Food er picture er shate original khabar er kono similarities nai. Ekdom opossite. Rice excessive kom, Chicken 1 Pcs jeta dey shetao khub choto. Not worth it",Real,
supg,20,3.44,35,It is the worst chicken wings i have ever tried..the naga and the bbq both..and too much salt!!,Shafaiyat,
va59,30,2.64,28,ঠান্ডা খাবাব় দেন ,Mohammed,
cjhl,3,3.29,3,Very Good Taste!,Affan,
p3it,18,1.86,9,সব আইটেম না থাকলে।অর্ডার।নিসেন।কেন? দুইটা আইটেম ডেলিভারী দিসেন!! ফ্রড। ,Samiul,
b1bl,30,3.0,36,Way too saucy and just saucy taste ,rabez,
jn50,2,4.0,4,The food was very good and the packaging was great.,Golobal,
wfsm,2,3.4,3,faltu ,Selina,
bgca,29,3.59,43,"I order stuffed beef garlic bread but they send me chicken garlic bread,after this incident I tried to inform them but they didn't receive my calls so much unprofessionalism ",Faisal,
vbdh,6,2.06,3, good but oily,Sanjida,
s4qo,30,3.08,33,food portion is now so much less than the previous times they cha ge the chef food doesn't taste good at all if you lovethe old hashtag then dont order waste of my.money,Mohammad,
s8oh,28,3.37,39,ছবি মত ছিলো না।টেস্ট মোটামুটি।কেনো জানি মনে হয়েছে হাতের কাছে সবজি ছিলো না রাইস এর সাথে কালার অ্যাড করে ডিম একটা পুস করে দিয়ে দিয়েছে ।,Chompa,
ptnw,3,2.25,2,Bad.mora murgi. And they did not add the honey mustard Sauce instead they gave me a packet of tomato ketchup.,Ilman,
xmy3,5,4.45,9,Ordered fish and they sent chicken instead. Also sent a different bhorta instead of alu bhorta. ,Mushfiq,
xwxv,19,3.63,31,Not flavourful at all,Ahmad,
l5yo,2,4.33,4,"Lack of salt, chilli oil should be added..taste was bland...But packaging was good.",Swagata,
ydkw,30,3.03,33,Valoi beef poriman kom chilo amne moja chilo,Era,
or7o,30,2.7,33,shorma tah pura nosto hoye gase ki poriman jj bajee ektu oo khawa jai naii and chap ee mangsho komm onion rr sauce ee beshii totaly bad,Azan,
yv75,30,3.23,35,Moja chilo na mutton tehari. Extra meat diye order korechi extra dey o ni.,Mollika,
yxsz,3,3.29,5,"গোল্ড বক্স এর আইটেমগুলো ফ্রেশ ছিল না,শক্ত হয়ে গিয়েছিল!",shekhor,
ygtf,30,2.0,17,Worse,Nursadul,
al6g,30,2.64,31,it took almost 1 hr to deliver. the pizza got cold and lost appetite.,azgar,
x8u2,16,2.95,18,taste was average the chicken pieces were way too small very disappointed ,mahpara,
uvo1,27,3.42,37,Sweets weren't exact,Mirajur,
eae9,30,2.59,26,bad smelly chicken wings,Sajid,
c1gf,30,3.5,45,১ টাকার জন্য এমন করে মানুষ 😡ছি,Md,
y10m,21,2.85,17,সেভরি আইটেম গুলা ঠান্ডা সার্ভ করেছে।  ফ্রিজ থেকে বের করে দেয়া হয়েছে,Sanjida,
qves,1,1.0,0,"Taste low, first time order chilo eta tasty treat thke vbsilm fresh ajkr cake dibe but cake 4/5 din ager purono,, taste ekdhm low 😅 disappoint hoilm...",Mohona,
v0m6,3,2.75,4,Exp was gd,محمد,
u4fd,5,3.15,5,"Food quantity is okay but the vegetables are overcooked thats why its getting mushy, the fried chicken piece is too small, moreover taste of it's not good and the manchurian chicken is full of veg. ",Saidia,
ni30,30,3.52,47,ভালো ছিলো,Suranjit,
ind4,7,3.42,11,"Brownies were very mushy , not fully baked .  ",Asma,
kfz3,30,2.39,22,Garlic naan ta pura noshto ar chicken tikka tao worst,Samina,
sjaf,21,3.26,28,Fried rice taste good ,Tawsif,
rb9k,1,1.0,0,"most disgusting food, the just made everything with raw onion, doesn't care about how the other person will eat",Faiz,
john,2,4.2,3,"The sauce should have been served separately, as applying it directly made the corn dog soggy. Flashback's corn dog was the best in town, and I missed their corn dog a lot!",Hamia,
vilp,4,3.6,6,বিফ এ হলুদ বেশি হয়েছে।,Sabbir,
tnjm,19,2.88,19,packaging eto baje ar order korbo nh faltu ,Jobaer,
jzxw,1,1.0,0,800 gm dry cake order korsi.. dise 400 gm dry cake.. ,Marufa,
avzp,30,2.89,32,both pizza & pasta were half cooked. expected a better food to be delivered.,Saad,
jf7m,2,1.0,0,unfortunately The fries were tasteless,Ryoto,
rdl4,30,3.08,35,Very much delicous food.,Tazmeen,
h373,3,3.33,4,"মোরগ পোলাও  মুরগির পিস টা বাসি হয়ে গেছিলো,,টেস্ট খুব এ বাজে ছিল ",Sanjida,
g4f7,1,2.33,1,the food was absolutely terrible. i mean what a piece of crap.i will ever order from this place again.,kazi,
vezy,23,2.06,14,jmn chaychi paii nai,Adnan,
yeu7,30,3.18,41,The brisket was really dry but the sides were good,Farhan,
whdn,1,1.67,0,"পিজ্জা হোল্ডার ইউজ করা উচিত। এটা দেখি ২ ভাগ হয়ে ২ মাথায় পড়ে আছে। ৬ স্লাইস এর ২ স্লাইস এর উপরে চিজ সহ অন্য ম্যাটারিয়েল ছিল, বাকি ৪ স্লাইস খালি। আর টেস্ট মোটামুটি ভালোই",Hasan,
pgr1,30,2.67,26,food was too good... arektu rice and meat baray dile valo hoto half e.. may be full khele 1 jon er jonno perfect,Sohel,
ztm8,1,1.0,0,doi kom dise,Anode,
axpf,2,3.0,2,"Corn dog should be light and crispy, moreover, cheese should melt out with every bite! Instead, the outer coating was very thick and soggy, and I didn't like it at all! Momo was so so",Hamia,
imj2,30,3.54,39,average,Aleeza,
stxu,18,2.87,22,worst food ever.... don't order.,Auriana,
zv68,20,3.41,27,পুডিং টা একদম বাজে.... পুডিং এমন হয় নাকি.....,Tinku,
raai,20,3.33,26,"খাবার ভালো ছিল।উন্নত মানের পোলাও চাল ব্যবহার করেছে কিন্তু পরিমান আরো বাড়ানো উচিত।আর হ্যাঁ, এটা বলতে হবে প্রাইস ওভার হয়ে গেছে।হয় প্রাইস কমানো উচিত না হয় সাথে কাবাব ইত্যাদি এড করা উচিত।",Shova,
yqir,30,2.65,24,good,Umme,
k65j,11,2.85,11,রাইডার ভাইয়ার ব্যবহার অনেক বেশি ভালো ছিল,MD,
n8t4,30,4.48,56,"বাটারস্কচ কেকের উপর কোনো কথা হবেনা। কেকটা দেখতেও অনেক সুন্দর, আমাদের মনের মতো হয়েছে। টেস্টাও অনেক জেনুইন, নাটি এবং বাটারি ফ্লেভার, ঘ্রানটাও খুব ফ্রেশ। দামি রেস্তোরা থেকে বিষ না কিনে উনাদের থেকে নিন",Ponir,
af6r,30,3.29,41,খিচুড়িটা তেমন ভালো ছিল না ,Umar,
fz8k,22,3.08,25,kono boiled egg menu te thaka shotteo deinai.. onek beshi rice diye dise shudhu! ,Nushera,
o1bh,6,3.57,7,vorta gula shorishar tel bebohar korle it will be more good,Farhan,
cjt6,11,3.0,13,I was supposed to get chikon jilapis but they gave the thick one.  A very misleading thing to do. They haven’t even mentioned. ,Sanjana,
l2fj,29,3.35,38,burger was bad . portion onek Kom choto chilo sauce ta moja chilo but patty ta faltu purai 150 ,Umme,
tdjl,2,4.0,4,রেস্টুরেন্টে খাওয়াতে অনেক ভালো ছিল ১০/১০ কিন্তু অর্ডার করে খাওয়াতে হতাশ হয়েছি ২/১০  খাবার বাসি ছিল মনে অতিরিক্ত তেল ছিল 😢,Moriam,
utiu,30,3.38,38,showrma ta  oto bhalo khete  chilo na. ar chicken ta tgik chilo ,Abir,
ww45,30,3.1,39,"khichuri & chicken konotai fresh chilo na,noshto chilo,smell ta eto baje chilo khetei pari ni waste of money..tk diye jdi noshto khabar pai thle bepar ta khub e disappointing..",Nusrat,
jwjp,2,3.8,3,খাবারের টেস্ট ভালো। তবে গরম করে দিলে ভালো হয়। ,Priyanka,
pobn,1,5.0,3,Bestest momos🤤🤤🤤,Md,
a7qq,2,3.4,3,একটা মাত্র চিংডি মাছ,MOHAMMAD,
v74e,6,2.38,3,apnader  pizza onek thanda chilo porer bar theke ata iktu thik korben ovar all good 😊,SAYEM,
s7wm,30,3.48,43,Pizza was not cooked well ,Farhana,
xps8,13,3.29,19,Hot and fresh,Anwar,
yurr,30,3.9,53,"আলহামদুলিল্লাহ, খাবার বরাবরের মতোই ভালো ছিল। আমার প্রিয় একটা রেস্টুরেন্ট বৈঠক খানা। আমি আমার পরিবার, পরিচিত, মেহমান, বন্ধু-বান্ধব নিয়ে অসংখ্য বার খেয়েছি। আপনিও চাইলে নির্দ্বিধায় যেতে পারেন। ",Nazrul,
w60m,2,3.0,2,ফালতু কোথাকার....কেক জিনিষ টা ইন্সট্যান্ট বানিয়ে ডেলিভারি দেওয়ার জিনিষ না....কেউ এদের থেকে ভুলেও কেক অর্ডার করবেন না..এরা ইন্সট্যান্ট কেক বানিয়ে ডেলিভারি করে আর ভাঙ্গা কেক ডেলিভারি দেয়,annesha,
ys9h,30,2.43,23,nice behaviour.. 🤍,mdnurnnobi,
nz54,13,3.65,21,Delivery system was not good as well as packaging.  oil was all over the bag,Akib,
en6n,30,2.92,30,I didn’t like the quality of the burger for which i paid 430 taka😭,akibul,
z6fg,30,3.7,48,"Food was warm, fresh and had a good packaging, but chicken slice was thin and there could have been cucumber, tomato in the burger instead of just onions and lettuce...",Always,
nbbx,30,2.61,30,packaging should be improved,Khalid,
urs7,9,2.45,8,Didn’t like at all,Nafisha,
olef,2,4.0,2,আমি আগে একবার ওদের থেকে অর্ডার করেছিলাম তখন একটু ছোট লেগেছে আমি এ বিষয়টি ওদেরকে জানাই পরবর্তী যে খাবারগুলো এইবার অর্ডার করেছি বড় ছিল মজার ছিল। এক কথায় ভালো ,Nur,
s4vw,30,2.69,32,Extremely disappointed with the packing quality. The packing was very poor & expected,Md,
etio,2,2.33,2,"madarcud marka restaurant,  Hyderabadi Birayni order dici kankir pola ra kacci dorai dice cagola gosto kotteke kuje ance magir polara, beef cili te 1/2 kg tel dice 1/2 kg lobon dice, hedar polara ",Mohammad,
ifu6,5,3.0,6,"Good but doesn't really taste any different from the other boba teas. It's just green,barely any matcha. Good regardless,except dc kept on increasing while my order was in the cart. 6/10",Tanzila,
whoa,30,2.58,22,kabar onk poor chicken ta tok salad ow provide kore ni Ami 7 days thake eita asha Kori nia,Fahi,
mh97,30,2.87,33,good food,The,
v4zw,30,3.08,35,"Cravvvvviing Cuuuup!!! A bunch of thanks for delivering the food as the way I wanted. You are now in my fav list. Going to reorder the same items, mark my words! Please maintain quality, that's it.",Mimi,
s7if,17,3.89,34,"decent, not too sweet",Sokina,
yu5y,28,3.26,35,good,Tanvir,
bden,26,2.37,17, খুবই বাজে। কোন সস দেয়নি। এভাবে ব্যবসা করা উচিত নয়,Swarup,
qken,1,1.0,0,"একদম জঘন্য🤬একটু ঝোল নাই,ডিম নাই,রাইস একদমই কম।এতো বাজে আর কখনো খাই নাই।🥲",Navil,
clnu,29,2.95,36,Delivered Items which is almost near about to expire!!! The item Mithai Mehomandari is Production of November 2025! Also cancel items without confirming me.,Eyasin,
p2sd,7,3.11,8,Good but the waffle is very small compared to other restaurants waffle ,Ahammed,
lgg4,8,2.44,6,"amount of food was very low except adana kabab. Overpriced, food quality was below average, only nan was of some note. Taste was bad, specifically chicken bolani was very bad. not recommended",Dr.,
xe7f,30,2.79,29,পরটা অনেক শক্ত ছিল আর চিকেন সুপ একদম পোড়া ছিল। ডেকচির তলার খাবার আর বাসি ছিল.। ,Saima,
u4qx,21,3.53,31,good taste. will order again inn sha Allah.,tahmid,
nlie,30,3.69,51,"ঝাল ফ্রাইটা ভালো ছিল,ইফতারের জন্য নিয়েছিলাম।ইনশাআল্লাহ সামনে আবার অর্ডার দিব,যেহেতু বাসার কাছেই এই হোম কিচেনটি।আশাকরি সামনেও ভালোভাবে সার্ভ করবেন। ",Sidratul,
uhyb,30,3.68,43,Pakaging was very good,Arindam,
grgu,8,2.89,9,"Ruti thale vaje diye diyechen, thatae ata ruti hoye galo paratha. New idea. Very good. ",Monir,
dd1c,17,3.19,22,burger er modda chicken er Quantity Akdom kom cilo.. ,Remon,
btua,2,2.67,3,প্যাকিং ভালো কিন্তু দই একদম পাথরের মতো শক্ত ছিল। পরিষ্কার বোঝা যাচ্ছে ডিপ ফ্রিজ থেকে নামিয়ে দেওয়া হয়েছে। বগুড়ার সরা দই এভাবে ডিপে রাখলে স্বাদ ও টেক্সচার নষ্ট হয়ে যায়। খেয়ে একদমই ফ্রেশ মনে হয়নি।,The,
yqmu,15,2.79,16,i got food with a dead fly and the food full of bones instead of meat. 💩💩💩,Mohammd,
kb5m,7,2.38,4,love panda box meals sm,Naia,
ajog,10,5.0,21,onk valo cilo. specially jhalmuri was very good. highly recommended. thank you. ,Tajbid,
ms50,26,2.26,18,test bhalo but price onujayi rice er quantity onk onk kom. ,Shahriar,
m1if,2,5.0,5,i really love your food..it was so tasty..keep providing us good quality food..,Armana,
db4n,19,2.72,15,tasty but low quantity ,Prabir,
yofb,30,3.25,44,bbq meat box was soo good.,Farzana,
nelm,30,3.21,38,The quality of Akhni Improved. quantity was also enough. The teheri was as usual good. ,Mohammad,
c7q9,5,4.08,10,literally after a long long time... I had a really good pizza. really appreciating,Fahmida,
a6mj,3,2.71,4,Good food,Thunder,
nluw,5,4.23,11,.,Md,
ox1c,2,5.0,6,"আজ প্রথমবার আমি অর্ডার করেছি কারণ আমার খুব পাতলা খিচুড়ি খেতে ইচ্ছে করছিল।লেটকা খিচুড়িটা তো অসাধারণ তার সাথে আচার , ভর্তা,ডিম ভাজা ,বেগুন ভাজা অল এভ্রিথিং ইজ মাচ বেটার সাথে টমেটোর ভর্তাটা অসাধারণ ছিল",Saeeda,
bm86,6,2.5,6,ato falto Biryani jibone kai nai aro tahari cilo poro nosto manos ke ababe tokano falto resturen,Atifa,
tncz,30,3.38,41,3rd class food...test is very very bed...money waste,Kamrul,
yz2n,30,2.22,23,wrong item provided ,Tanjil,
jzpf,30,3.24,43,The korma polao Korma was spoiled & its smelled bad,Shovan,
