code,name,chain,city,area,cuisines,rating,reviews,min_order,delivery_fee,delivery_time_min,lat,lng,address,post_code
r8jh,Hungry Rooster,Hungry Rooster,Dhaka,,Chicken|Snacks|Meat|Fried Chicken,4.7,30,50.0,78.0,0.0,23.79201204,90.40922884,"House #90, Road # 17A, Block E, Banani, Dhaka -1213,",1213
fylf,Clean Cravings - Banani,Clean Cravings,Dhaka,,Chicken|Rice Dishes|Meat,4.8,30,50.0,78.0,0.0,23.7920464,90.4092342,"House-90 Road No. 17A,  Banani ,Dhaka 1213",1211
ohts,Ghorer Khabar,,Dhaka,,Curry|Bangladeshi|Asian,4.2,2,50.0,78.0,0.0,23.7794161,90.4032805,mohakhali wireless gate 120 number House,1212
v624,Suruchi Khabar Ghor - Gulshan 2,,Dhaka,,Curry|Rice Dishes|Bangladeshi|Asian,4.7,30,50.0,78.0,0.0,23.79454235,90.41370035,House-15 Borun Bhaban Market Gulshan-2 Circle Dhaka-1212,1212
oniu,Aroth Kitchen,,Dhaka,,Curry|Rice Dishes,0.0,0,50.0,78.0,0.0,23.7947536,90.4143085,Gulshan 2,1212
cbka,Healthy And Tasty Food,,Dhaka,,Snacks|Rice Dishes|Bangladeshi|Asian,0.0,0,50.0,78.0,0.0,23.7947536,90.4143085,"53/ 1 gha dinnath sen road gendaria, near sahdona oushodaloy.",1212
fa88,Doner's,,Dhaka,,Wraps|Middle Eastern,4.7,30,50.0,78.0,0.0,23.79137579,90.40789633,"House - 134, Road - 13E, Block - E, Same Building of Shawarma N Kathiroll, Near Waffle Up - Banani, Banani, Dhaka - 1213",1213
krv8,Shawarma N Katiroll,,Dhaka,,Middle Eastern|Shawarma|Fast Food,4.8,30,50.0,78.0,0.0,23.7913392,90.4077514,"House:134, Road-12, Block-E Banani Model town",1211
nb6o,Premium Bakers,,Dhaka,,Bakery,0.0,0,50.0,78.0,0.0,23.7905055,90.4318578,"28/5, Road-3, Beside of Jann Garments-2, Abdullah bag, Uttar Badda, Dhaka-1212",1212
kqpz,Tiffin Time,,Dhaka,,Bangladeshi|Asian,0.0,0,50.0,78.0,0.0,23.7771031,90.4031632,"আইপিএইচ মসজিদ রোড, আইপিএইচ মসজীদ রোড, আইপিএইচ মন্দিরের ঠিক অপজিটে, বাসা নংঃ ৪৩/২ QCG3+V6P, IPH Mosque Rd, Dhaka 1212, 1212 বনানী, ঢাকা, Bangladesh",1212
duf4,Fruitsicles - Banani,Fruitsicles - Banani,Dhaka,,Dessert,4.9,25,50.0,78.0,0.0,23.79286714,90.40931117,"Jatra Bangladesh Ltd. Ground Floor, Road - 19/A Ground Floor, Back Side of Prime Bank Ltd. Banani, Dhaka - 1213",1213
