vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
j920,1,5.0,3,দামের তুলনায় রসমালাইটা ভাল লেগেছে। বেশি মিষ্টি না আবার কম মিষ্টিও না। ,mabubul,
fsak,2,4.0,4,রেগুলার সাইজের মিট বক্সের প্রাইস নিয়ে মিনি সাইজের মিট বক্স দিয়েছে । রাতের বেলায় বাটপারি করে । খাবারও একটু বাসি ছিল ,Afsana,
bpyf,7,3.32,11,good,SYED,
r0ci,30,3.0,33,Valoi chilo moja as always,Upoma,
jf1i,30,3.1,38,Very bad quality product.,Rezwanur,
d6k0,8,2.6,8,I didn't like it.,Bargee,
oj85,18,3.08,23,Very good ,Naim,
mzco,14,2.62,12,The pizza was cold and very less toppings,Nazmus,
s4zc,15,2.65,15,Doi Bora was not tasty. the kababs were average.,Sumu,
ntkj,7,4.89,19,excellent value for money ,Albaab,
bf9f,30,2.83,35,test good. but delivery is soo late. ,Zaba,
pnbd,1,3.67,1,"অন্থন ডেলিভারি পেয়েছি ৭ পিস, বুঝলাম না ১ পিস কোথায় মিসিং হলো!!! ",Aslam,
crjq,2,2.2,1,I ordered that but sent them another,Kamrun,
mfj7,22,3.95,41,khaber ar man khub valo ,Safiul,
hpuz,1,2.33,1,worst pizza compared to price.,Raiyan,
mqko,30,3.79,56,moja,Mymona,
iy5l,30,3.38,40,chocolate moist cake was amazing ,Onionto,
dca0,30,3.91,57,10/10,Raisa,
acks,30,4.12,48,Really loved the shawarma 🤤 garlic sauce ta ekdom perfect. Totally worth the price!. And also falafel ta batter chilo bt arktu batter korla valo hoy baki all joss chilo ,Sanjida,
vyta,1,1.0,0,didn't deliver chicken chaap. whatever delivered not edible ,Mizanur,
dt7j,30,2.53,24,chicken was too dry.. will not recommend. ,Fareha,
ajn9,28,2.85,29,good,Muhammad,
zgnn,2,2.33,2,"They labeled as Tehari Ghor in Food Panda, but originally they are Kabir Tehari Ghor which is completely a different restaurant. What a scam don't recommended.",Arif,
qng9,22,4.0,44,Good Quality,Faysal,
